"Country or Area","Year","Area","Sex","Age","Record Type","Reliability","Source Year","Value","Value Footnotes"
"United States of America","2015","Total","Both Sexes","Total","Estimate - de jure","Final figure, complete","2016","321418820","1,2"
"United States of America","2015","Total","Both Sexes","0","Estimate - de jure","Final figure, complete","2016","3978038","1,2"
"United States of America","2015","Total","Both Sexes","0 - 4","Estimate - de jure","Final figure, complete","2016","19907281","1,2"
"United States of America","2015","Total","Both Sexes","1","Estimate - de jure","Final figure, complete","2016","3968564","1,2"
"United States of America","2015","Total","Both Sexes","1 - 4","Estimate - de jure","Final figure, complete","2016","15929243","1,2"
"United States of America","2015","Total","Both Sexes","2","Estimate - de jure","Final figure, complete","2016","3966583","1,2"
"United States of America","2015","Total","Both Sexes","3","Estimate - de jure","Final figure, complete","2016","3974061","1,2"
"United States of America","2015","Total","Both Sexes","4","Estimate - de jure","Final figure, complete","2016","4020035","1,2"
"United States of America","2015","Total","Both Sexes","5","Estimate - de jure","Final figure, complete","2016","4018158","1,2"
"United States of America","2015","Total","Both Sexes","5 - 9","Estimate - de jure","Final figure, complete","2016","20487176","1,2"
"United States of America","2015","Total","Both Sexes","6","Estimate - de jure","Final figure, complete","2016","4019207","1,2"
"United States of America","2015","Total","Both Sexes","7","Estimate - de jure","Final figure, complete","2016","4148360","1,2"
"United States of America","2015","Total","Both Sexes","8","Estimate - de jure","Final figure, complete","2016","4167887","1,2"
"United States of America","2015","Total","Both Sexes","9","Estimate - de jure","Final figure, complete","2016","4133564","1,2"
"United States of America","2015","Total","Both Sexes","10","Estimate - de jure","Final figure, complete","2016","4121289","1,2"
"United States of America","2015","Total","Both Sexes","10 - 14","Estimate - de jure","Final figure, complete","2016","20622330","1,2"
"United States of America","2015","Total","Both Sexes","11","Estimate - de jure","Final figure, complete","2016","4130328","1,2"
"United States of America","2015","Total","Both Sexes","12","Estimate - de jure","Final figure, complete","2016","4101021","1,2"
"United States of America","2015","Total","Both Sexes","13","Estimate - de jure","Final figure, complete","2016","4084306","1,2"
"United States of America","2015","Total","Both Sexes","14","Estimate - de jure","Final figure, complete","2016","4185386","1,2"
"United States of America","2015","Total","Both Sexes","15","Estimate - de jure","Final figure, complete","2016","4249742","1,2"
"United States of America","2015","Total","Both Sexes","15 - 19","Estimate - de jure","Final figure, complete","2016","21108903","1,2"
"United States of America","2015","Total","Both Sexes","16","Estimate - de jure","Final figure, complete","2016","4184296","1,2"
"United States of America","2015","Total","Both Sexes","17","Estimate - de jure","Final figure, complete","2016","4194286","1,2"
"United States of America","2015","Total","Both Sexes","18","Estimate - de jure","Final figure, complete","2016","4217995","1,2"
"United States of America","2015","Total","Both Sexes","19","Estimate - de jure","Final figure, complete","2016","4262584","1,2"
"United States of America","2015","Total","Both Sexes","20","Estimate - de jure","Final figure, complete","2016","4363440","1,2"
"United States of America","2015","Total","Both Sexes","20 - 24","Estimate - de jure","Final figure, complete","2016","22739313","1,2"
"United States of America","2015","Total","Both Sexes","21","Estimate - de jure","Final figure, complete","2016","4456790","1,2"
"United States of America","2015","Total","Both Sexes","22","Estimate - de jure","Final figure, complete","2016","4529472","1,2"
"United States of America","2015","Total","Both Sexes","23","Estimate - de jure","Final figure, complete","2016","4652266","1,2"
"United States of America","2015","Total","Both Sexes","24","Estimate - de jure","Final figure, complete","2016","4737345","1,2"
"United States of America","2015","Total","Both Sexes","25","Estimate - de jure","Final figure, complete","2016","4729564","1,2"
"United States of America","2015","Total","Both Sexes","25 - 29","Estimate - de jure","Final figure, complete","2016","22461554","1,2"
"United States of America","2015","Total","Both Sexes","26","Estimate - de jure","Final figure, complete","2016","4544416","1,2"
"United States of America","2015","Total","Both Sexes","27","Estimate - de jure","Final figure, complete","2016","4439766","1,2"
"United States of America","2015","Total","Both Sexes","28","Estimate - de jure","Final figure, complete","2016","4364669","1,2"
"United States of America","2015","Total","Both Sexes","29","Estimate - de jure","Final figure, complete","2016","4383139","1,2"
"United States of America","2015","Total","Both Sexes","30","Estimate - de jure","Final figure, complete","2016","4417209","1,2"
"United States of America","2015","Total","Both Sexes","30 - 34","Estimate - de jure","Final figure, complete","2016","21675648","1,2"
"United States of America","2015","Total","Both Sexes","31","Estimate - de jure","Final figure, complete","2016","4278233","1,2"
"United States of America","2015","Total","Both Sexes","32","Estimate - de jure","Final figure, complete","2016","4343614","1,2"
"United States of America","2015","Total","Both Sexes","33","Estimate - de jure","Final figure, complete","2016","4341754","1,2"
"United States of America","2015","Total","Both Sexes","34","Estimate - de jure","Final figure, complete","2016","4294838","1,2"
"United States of America","2015","Total","Both Sexes","35","Estimate - de jure","Final figure, complete","2016","4379404","1,2"
"United States of America","2015","Total","Both Sexes","35 - 39","Estimate - de jure","Final figure, complete","2016","20374585","1,2"
"United States of America","2015","Total","Both Sexes","36","Estimate - de jure","Final figure, complete","2016","4108775","1,2"
"United States of America","2015","Total","Both Sexes","37","Estimate - de jure","Final figure, complete","2016","4028403","1,2"
"United States of America","2015","Total","Both Sexes","38","Estimate - de jure","Final figure, complete","2016","3987141","1,2"
"United States of America","2015","Total","Both Sexes","39","Estimate - de jure","Final figure, complete","2016","3870862","1,2"
"United States of America","2015","Total","Both Sexes","40","Estimate - de jure","Final figure, complete","2016","3989839","1,2"
"United States of America","2015","Total","Both Sexes","40 - 44","Estimate - de jure","Final figure, complete","2016","20215198","1,2"
"United States of America","2015","Total","Both Sexes","41","Estimate - de jure","Final figure, complete","2016","3865228","1,2"
"United States of America","2015","Total","Both Sexes","42","Estimate - de jure","Final figure, complete","2016","3924258","1,2"
"United States of America","2015","Total","Both Sexes","43","Estimate - de jure","Final figure, complete","2016","4100708","1,2"
"United States of America","2015","Total","Both Sexes","44","Estimate - de jure","Final figure, complete","2016","4335165","1,2"
"United States of America","2015","Total","Both Sexes","45","Estimate - de jure","Final figure, complete","2016","4389345","1,2"
"United States of America","2015","Total","Both Sexes","45 - 49","Estimate - de jure","Final figure, complete","2016","20853844","1,2"
"United States of America","2015","Total","Both Sexes","46","Estimate - de jure","Final figure, complete","2016","4160573","1,2"
"United States of America","2015","Total","Both Sexes","47","Estimate - de jure","Final figure, complete","2016","4073685","1,2"
"United States of America","2015","Total","Both Sexes","48","Estimate - de jure","Final figure, complete","2016","4077689","1,2"
"United States of America","2015","Total","Both Sexes","49","Estimate - de jure","Final figure, complete","2016","4152552","1,2"
"United States of America","2015","Total","Both Sexes","50","Estimate - de jure","Final figure, complete","2016","4400288","1,2"
"United States of America","2015","Total","Both Sexes","50 - 54","Estimate - de jure","Final figure, complete","2016","22334317","1,2"
"United States of America","2015","Total","Both Sexes","51","Estimate - de jure","Final figure, complete","2016","4479664","1,2"
"United States of America","2015","Total","Both Sexes","52","Estimate - de jure","Final figure, complete","2016","4474344","1,2"
"United States of America","2015","Total","Both Sexes","53","Estimate - de jure","Final figure, complete","2016","4463494","1,2"
"United States of America","2015","Total","Both Sexes","54","Estimate - de jure","Final figure, complete","2016","4516527","1,2"
"United States of America","2015","Total","Both Sexes","55","Estimate - de jure","Final figure, complete","2016","4553385","1,2"
"United States of America","2015","Total","Both Sexes","55 - 59","Estimate - de jure","Final figure, complete","2016","21807942","1,2"
"United States of America","2015","Total","Both Sexes","56","Estimate - de jure","Final figure, complete","2016","4399120","1,2"
"United States of America","2015","Total","Both Sexes","57","Estimate - de jure","Final figure, complete","2016","4371245","1,2"
